contribution_ext_id,pm_name,sitting_date,debate_section,is_pmqs,contribution_text,sentiment_label
87948FF6-9B7D-4143-9C7B-8795BA3598E8,Boris Johnson,2019-07-25,Priorities for Government,False,"Those guarantees, as the hon. Gentleman knows, we are giving unilaterally, in a supererogatory way. Of course, I want to see a symmetrical response from the other side of the channel, but I think that we should be very proud of the steps that we are taking.",
50FC2D74-93A1-4875-9E4C-FBA4C82515D7,Boris Johnson,2019-07-25,Priorities for Government,False,"As far as I can remember, in 2014 the people of Scotland had a referendum, and the hon. Lady’s side did not prevail; the people of Scotland voted to remain part of the United Kingdom, from which there are many benefits—economic, political and geo-strategic. That is a great future for the people of Scotland, and one that I think will prevail.",
CF2272AA-5564-476E-873C-35F608FA9300,Boris Johnson,2019-07-25,Priorities for Government,False,"The automotive sector globally is suffering a contraction, partly as a result of the diesel crisis and the move to electric vehicles, and what is happening with demand in China; that is a fact. There is, as far as I know, no impact in Sunderland yet, but I draw the hon. Lady’s attention again to the massive investments that are none the less happening in our country, including in Oxford and Birmingham, with world-beating companies investing in British technology. It is worth billions of pounds, and we should salute it.",
6FD6A3F6-6EEE-4476-B907-77374305B099,Boris Johnson,2019-07-25,Priorities for Government,False,"I thank my hon. Friend for his campaign for safer streets in his constituency, and I was proud to work with him in London when we reduced serious youth violence by 32%. We reduced the murder rate by 50%—not even the pessimists and doubters on the Opposition Benches could contest that—and we kept that rate at fewer than 100 a year for four or five years running. We reduced knife crime in London with a very active policy of stop and search. I know Labour Members opposed that, but they were wrong, and we took thousands of knives—11,000 knives—off the streets of London. We saved lives across the city, and my hon. Friend can be proud of what he did to help that campaign.",
0DE78692-663F-4187-9740-10B28E5E5B34,Boris Johnson,2019-07-25,Priorities for Government,False,"We must work with our partners around the world to make sure that non-resident parents fulfil their duties. As the hon. Lady knows, there are conventions to insist on that.",
20DB5486-D80A-4994-8260-C76099CA7FD6,Boris Johnson,2019-07-25,Priorities for Government,False,"My hon. Friend is entirely right. We should promote mental health in this country by giving businesses incentives to look after the mental health of their employees, and prevent the burden from falling so heavily on the NHS and social services.",
7A03A9FA-2EF6-4F2F-9D70-BD6CCED22582,Boris Johnson,2019-09-04,Engagements,True,"The Chancellor of the Duchy of Lancaster said absolutely no such thing, and I can tell the right hon. Gentleman that, thanks to my right hon. Friend’s good offices and thanks to his efforts, preparations for no deal are very far advanced. I can also tell him that the surest way of getting no deal is to undermine this country’s ability to negotiate, which is what he is doing. If this Bill is passed this afternoon—I do not want an election, and I do not think that the right hon. Gentleman wants an election, but there is a petition on his own Labour website in which 57,000 people, including Carol, Nigel, Graham and Phoebe, have called for an election. I do not know whether there is a Jeremy on the list. I do know that the right hon. Gentleman is worried about free trade deals with America, but I can see only one chlorinated chicken in the House, and he is sitting on the Opposition Front Bench. Will he confirm that he will let the people decide on what he is doing to this country’s negotiating position by having a general election on 15 October?",
41A68F93-F393-4DA9-9D7C-596BBEF2992F,Boris Johnson,2019-09-04,Engagements,True,"I must correct the hon. Gentleman because, in fact, unemployment is well down in his constituency, employment is up and health outcomes are up. When I made those remarks, which was many, many years ago, it was, I am afraid, when his constituency had the sad misfortune to have a Labour Government in power. That is no longer the case.",
8EA34E94-0D83-4112-B1C7-8C5FB8518FBA,Boris Johnson,2019-09-04,Engagements,True,"I am not going to take any lectures from anybody in the Labour party about how to run a party. Theirs is a party in which good, hard-working MPs are daily hounded out by antisemitic mobs. Let us be absolutely clear: if the hon. Gentleman is interested in democracy, I hope he has been listening to what I have been saying today. In an anti-democratic way, the Bill that will come before the House today would hand over this country’s right to decide how long to remain in the EU, and it would hand it over to the EU itself. That is what the Bill involves. If the hon. Gentleman thinks that is a good idea, let him submit it to the judgment of the British people in an election.",
FBAB0523-0AC1-46BE-A948-CB6C06D1A8A4,Boris Johnson,2019-09-25,Prime Minister's Update,False,"I really think that my hon. Friend puts her finger on the issue. This has been an opportunity, in this crucible of the nation, this intellectual forcing house, for hon. Members to suggest any solutions or ideas, if they had any, for how to take forward a deal between us and our much-valued European Union friends and partners. If they had a single notion about how to do it, or if they thought I was missing a trick or they had some idea, this would have been their moment, but we have not heard anything—nothing remotely positive, not a single idea, zilch—from Opposition Members, and I think that will have been noted by people watching.",
018FEFC3-DEA0-4553-B76E-98D07FEF1F62,Boris Johnson,2019-09-25,Prime Minister's Update,False,"With your leave, Mr Speaker, I will keep my answers pretty staccato from now on, because I have answered these points quite a lot. If people care about their constituents—it is quite proper, of course, that they should in every possible way—they should honour the will of their constituents and respect our democratic proceedings.",
